name,short_description,genres,release_date,developer,publisher,overall_player_rating,release_year,overall_player_rating_normalized
Project Zomboid,"project zomboid is the ultimate in zombie survival. alone or in mp: you loot, build, craft, fight, farm and fish in a struggle to survive. a hardcore rpg skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. so how will you die? all it takes is a bite..","['survival', 'zombies', 'open world', 'open world survival craft', 'multiplayer', 'sandbox', 'post-apocalyptic', 'co-op', 'crafting', 'indie', 'building', 'simulation', 'rpg', 'survival horror', 'realistic', 'isometric', 'singleplayer', '2d', 'adventure', 'early access']",2013-11-08,['The Indie Stone'],['The Indie Stone'],4.0,2013.0,0.8
Dark and Darker,"an unforgiving hardcore fantasy fps dungeon pvpve adventure. band together with your friends and use your courage, wits, and cunning to uncover mythical treasures, defeat gruesome monsters, while staying one step ahead of the other devious treasure-hunters.","['early access', 'dungeon crawler', 'multiplayer', 'medieval', 'loot', 'pvp', 'rpg', 'battle royale', 'online co-op', 'pve', 'first-person', 'fantasy', 'survival', 'extraction shooter', 'class-based', 'magic', 'team-based', 'swordplay', 'exploration', 'dark']",2024-06-08,['IRONMACE'],['IRONMACE'],3.0,2024.0,0.6000000000000001
Visions of Mana,explore a world of elemental spirits and adventure in the latest mana action-rpg.,"['rpg', 'jrpg', 'party-based rpg', 'action rpg', '3d', 'cute', 'action', 'lore-rich', 'story rich', 'colorful', 'fantasy', 'anime', 'magic', 'class-based', 'atmospheric', 'adventure', 'singleplayer', 'old school', 'open world']",2024-08-29,['Square Enix'],['Square Enix'],4.0,2024.0,0.8
Limbus Company,"as the executive manager of limbus company, lead your group of twelve sinners, venture into the buried facilities of lobotomy corporation, and lay claim on the golden boughs.","['lore-rich', 'story rich', 'turn-based tactics', 'rpg', 'turn-based combat', 'visual novel', 'strategy rpg', 'singleplayer', 'strategy', 'free to play', 'anime', 'pve', 'turn-based strategy', 'action', '2d', 'dark fantasy', 'sci-fi', 'roguelite', 'great soundtrack', 'colorful']",2023-02-26,['ProjectMoon'],['ProjectMoon'],4.0,2023.0,0.8
Divinity: Original Sin 2 - Definitive Edition,"the critically acclaimed rpg that raised the bar, from the creators of baldur's gate 3. gather your party. master deep, tactical combat. venture as a party of up to four - but know that only one of you will have the chance to become a god.","['tactical rpg', 'rpg', 'turn-based strategy', 'story rich', 'fantasy', 'character customization', 'crpg', 'exploration', 'party-based rpg', 'strategy rpg', 'pvp', 'female protagonist', 'co-op campaign', 'local co-op', 'choices matter', 'isometric', 'romance', 'strategy', 'moddable', 'funny']",2017-09-14,['Larian Studios'],['Larian Studios'],5.0,2017.0,1.0
Fallout: New Vegas,welcome to vegas. new vegas. enjoy your stay!,"['open world', 'rpg', 'post-apocalyptic', 'singleplayer', 'moddable', 'story rich', 'exploration', 'first-person', 'action', 'adventure', 'sci-fi', 'fps', 'western', 'atmospheric', 'action rpg', 'character customization', 'survival', 'sandbox', 'shooter', 'third person']",2010-10-22,['Obsidian Entertainment'],['Bethesda Softworks'],5.0,2010.0,1.0
Undertale,undertale! the rpg game where you don't have to destroy anyone.,"['great soundtrack', 'story rich', 'choices matter', 'multiple endings', 'pixel graphics', 'funny', 'rpg', 'singleplayer', 'indie', 'comedy', '2d', 'replay value', 'bullet hell', 'cute', 'memes', 'retro', 'dark', 'psychological horror', 'dating sim', 'horror']",2015-09-15,['tobyfox'],['tobyfox'],5.0,2015.0,1.0
Persona 4 Golden,a coming of age story that sets the protagonist and his friends on a journey kickstarted by a chain of serial murders.,"['jrpg', 'great soundtrack', 'story rich', 'anime', 'turn-based combat', 'rpg', 'singleplayer', 'party-based rpg', 'mystery', 'multiple endings', 'emotional', 'turn-based strategy', 'detective', 'dating sim', 'colorful', 'adventure', 'strategy', 'visual novel', 'violent', 'turn-based']",2020-06-13,['ATLUS'],['SEGA'],5.0,2020.0,1.0
DARK SOULS™ III,"dark souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. prepare yourself and embrace the darkness!","['souls-like', 'dark fantasy', 'difficult', 'rpg', 'atmospheric', 'lore-rich', 'third person', 'exploration', 'story rich', 'action rpg', 'co-op', 'great soundtrack', 'adventure', 'action', 'multiplayer', 'pvp', 'open world', 'singleplayer', 'character customization', 'replay value']",2016-04-11,"['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']",4.0,2016.0,0.8
Hogwarts Legacy,"hogwarts legacy is an immersive, open-world action rpg. now you can take control of the action and be at the center of your own adventure in the wizarding world.","['magic', 'fantasy', 'open world', 'singleplayer', 'adventure', 'rpg', 'character customization', 'exploration', 'story rich', 'third person', 'action-adventure', 'atmospheric', 'action rpg', 'action', 'combat', 'choices matter', 'puzzle', 'great soundtrack', 'dark', 'family friendly']",2023-02-10,['Avalanche Software'],['Warner Bros. Games'],4.0,2023.0,0.8
OMORI,"explore a strange world full of colorful friends and foes. when the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well.","['psychological horror', 'story rich', 'pixel graphics', 'indie', 'great soundtrack', 'rpg', 'multiple endings', 'rpgmaker', 'hand-drawn', 'horror', '2d', 'colorful', 'turn-based', 'atmospheric', 'party-based rpg', 'exploration', 'jrpg', 'stylized', 'anime', 'fantasy']",2020-12-25,"['OMOCAT, LLC']","['OMOCAT, LLC']",5.0,2020.0,1.0
Slay the Spire,"we fused card games and roguelikes together to make the best single player deckbuilder we could. craft a unique deck, encounter bizarre creatures, discover relics of immense power, and slay the spire!","['roguelike deckbuilder', 'card game', 'card battler', 'roguelike', 'deckbuilding', 'turn-based', 'strategy', 'singleplayer', 'roguelite', 'replay value', 'indie', 'difficult', 'dungeon crawler', 'rpg', 'mouse only', '2d', 'great soundtrack', 'procedural generation', 'fantasy', 'casual']",2019-01-23,['Mega Crit'],['Mega Crit'],5.0,2019.0,1.0
Symphony of War: The Nephilim Saga,"enter tahnra, a land savaged by war. you, a fresh academy graduate with humble beginnings, will grow to lead a grand army against a corrupt adversary. gather heroes, form bonds, and lead your force in turn-based battles. make use of tactics, terrain, morale and more to bring peace to the land!","['tactical rpg', 'rpg', 'story rich', 'fantasy', 'turn-based strategy', 'adventure', 'female protagonist', 'strategy rpg', 'pixel graphics', 'lore-rich', 'romance', 'drama', 'strategy', '2d', 'jrpg', 'indie', 'auto battler', 'singleplayer', 'party-based rpg', 'tactical']",2022-06-10,['Dancing Dragon Games'],['indie.io'],5.0,2022.0,1.0
God of War,"his vengeance against the gods of olympus years behind him, kratos now lives as a man in the realm of norse gods and monsters. it is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.","['action', 'singleplayer', 'story rich', 'adventure', 'mythology', 'combat', 'third person', 'rpg', 'hack and slash', 'violent', 'open world', 'fantasy', 'exploration', 'atmospheric', 'gore', 'action rpg', 'emotional', 'souls-like', '3d', 'pve']",2022-01-14,"['Santa Monica Studio', 'Jetpack Interactive']",['PlayStation Publishing LLC'],5.0,2022.0,1.0
Fallout 4,"bethesda game studios, the award-winning creators of fallout 3 and the elder scrolls v: skyrim, welcome you to the world of fallout 4 – their most ambitious game ever, and the next generation of open-world gaming.","['open world', 'post-apocalyptic', 'singleplayer', 'exploration', 'rpg', 'adventure', 'atmospheric', 'shooter', 'first-person', 'story rich', 'action', 'sci-fi', 'fps', 'action rpg', 'sandbox', 'great soundtrack', 'third person', 'survival', 'third-person shooter', 'character customization']",2015-11-10,['Bethesda Game Studios'],['Bethesda Softworks'],4.0,2015.0,0.8
TROUBLESHOOTER: Abandoned Children,troubleshooter: abandoned children is the first season of a turn-based strategy srpg that takes place in the world of troubleshooter.,"['crpg', 'tactical rpg', 'turn-based tactics', 'turn-based', 'strategy rpg', 'wargame', 'turn-based strategy', 'female protagonist', 'party-based rpg', 'jrpg', 'rpg', 'strategy', 'controller', 'colorful', 'lore-rich', 'turn-based combat', 'story rich', 'atmospheric', '2d', 'superhero']",2020-04-23,['Dandylion'],['Dandylion'],4.0,2020.0,0.8
DAVE THE DIVER,"dave the diver is a casual, singleplayer adventure rpg featuring deep-sea exploration and fishing during the day and sushi restaurant management at night. join dave and his quirky friends as they seek to uncover the secrets of the mysterious blue hole.","['pixel graphics', 'casual', 'management', 'adventure', 'relaxing', 'rpg', 'fishing', 'exploration', 'simulation', 'underwater', 'singleplayer', 'farming sim', '2d', 'crafting', 'story rich', 'roguelite', 'funny', 'agriculture', 'action', 'indie']",2023-06-28,['MINTROCKET'],['MINTROCKET'],5.0,2023.0,1.0
The Elder Scrolls V: Skyrim Special Edition,"winner of more than 200 game of the year awards, the elder scrolls v: skyrim special edition brings the epic fantasy to life in stunning detail. the special edition includes the critically acclaimed game and add-ons with all-new features.","['open world', 'rpg', 'adventure', 'singleplayer', 'fantasy', 'character customization', 'moddable', 'dragons', 'story rich', 'magic', 'first-person', 'action', 'atmospheric', 'great soundtrack', 'third person', 'stealth', 'classic', 'remake', 'female protagonist', 'walking simulator']",2016-10-28,['Bethesda Game Studios'],['Bethesda Softworks'],4.0,2016.0,0.8
Yakuza 0,"sega’s legendary japanese series finally comes to pc. fight like hell through tokyo and osaka as junior yakuza kiryu and majima. take a front row seat to 1980s life in japan in an experience unlike anything else in video gaming, with uncapped framerates and 4k resolutions. a legend is born.","['story rich', 'action', '""beat em up""', 'great soundtrack', 'open world', 'crime', 'rpg', 'minigames', 'funny', 'singleplayer', 'violent', 'mature', 'adventure', 'comedy', 'sexual content', 'third person', 'drama', 'atmospheric', 'jrpg', 'dating sim']",2018-08-01,['Ryu Ga Gotoku Studio'],['SEGA'],5.0,2018.0,1.0
Mount & Blade: Warband,"in a land torn asunder by incessant warfare, it is time to assemble your own band of hardened warriors and enter the fray. lead your men into battle, expand your realm, and claim the ultimate prize: the throne of calradia!","['medieval', 'rpg', 'open world', 'strategy', 'sandbox', 'multiplayer', 'action', 'moddable', 'military', 'adventure', 'horses', 'singleplayer', 'realistic', 'first-person', 'historical', 'third person', 'simulation', 'hack and slash', 'fantasy', 'indie']",2010-03-31,['TaleWorlds Entertainment'],['TaleWorlds Entertainment'],5.0,2010.0,1.0
Mount & Blade II: Bannerlord,"a strategy/action rpg. create a character, engage in diplomacy, craft, trade and conquer new lands in a vast medieval sandbox. raise armies to lead into battle and command and fight alongside your troops in massive real-time battles using a deep but intuitive skill-based combat system.","['medieval', 'strategy', 'open world', 'rpg', 'war', 'sandbox', 'multiplayer', 'singleplayer', 'action', 'character customization', 'simulation', 'moddable', 'adventure', 'horses', 'realistic', 'third person', 'historical', 'first-person', 'great soundtrack', 'early access']",2022-10-25,['TaleWorlds Entertainment'],['TaleWorlds Entertainment'],4.0,2022.0,0.8
Kenshi,"a free-roaming squad based rpg. focusing on open-ended sandbox gameplay features rather than a linear story. be a trader, a thief, a rebel, a warlord, an adventurer, a farmer, a slave, or just food for the cannibals. train your men up from puny victims to master warriors.","['open world', 'sandbox', 'rpg', 'survival', 'strategy', 'building', 'base building', 'singleplayer', 'post-apocalyptic', 'crafting', 'city builder', 'indie', 'simulation', 'adventure', 'management', 'rts', 'character customization', 'ninja', 'alternate history', 'steampunk']",2018-12-06,['Lo-Fi Games'],['Lo-Fi Games'],5.0,2018.0,1.0
EA SPORTS FC™ 25,"ea sports fc™ 25 gives you more ways to win for the club. team up with friends in your favourite modes with the new 5v5 rush, and manage your club to victory as fc iq delivers more tactical control than ever before.","['simulation', 'sports', 'football (soccer)', 'esports', 'controller', 'competitive', 'multiplayer', 'family friendly', 'local co-op', 'local multiplayer', 'online co-op', 'modern', 'pvp', 'singleplayer', 'realistic', 'soundtrack', 'co-op']",2024-09-26,['EA Canada & EA Romania'],['Electronic Arts'],2.0,2024.0,0.4
Frostpunk 2,"develop, expand, and advance your city in a society survival game set 30 years after an apocalyptic blizzard ravaged earth. in frostpunk 2, you face not only the perils of never-ending winter, but also the powerful factions that watch your every step inside the council hall.","['strategy', 'city builder', 'survival', 'resource management', 'post-apocalyptic', 'simulation', 'singleplayer', 'sequel', 'steampunk', 'atmospheric', 'violent', 'choices matter', 'great soundtrack', 'management', 'base building', 'snow', 'colony sim', 'political sim', 'politics', 'psychological horror']",2024-09-20,['11 bit studios'],['11 bit studios'],3.0,2024.0,0.6000000000000001
NBA 2K25,"command every court with authenticity and realism powered by proplay™, giving you ultimate control over how you play in nba 2k25. define your legacy in mycareer, myteam, mynba, and the w.","['sports', 'basketball', 'simulation', 'esports', '3d', 'immersive sim', 'management', 'pvp', 'character customization', 'controller', 'deckbuilding', 'team-based', 'trading', 'co-op', 'local co-op', 'local multiplayer', 'multiplayer', 'online co-op', 'singleplayer', '4 player local']",2024-09-03,['Visual Concepts'],['2K'],2.0,2024.0,0.4
TCG Card Shop Simulator,"open your own local game store. stock shelves with the latest booster packs, or crack them and collect the cards for yourself. set your own prices, hire staff, host events, and expand your card shop.","['simulation', 'management', 'collectathon', 'economy', 'capitalism', 'singleplayer', 'early access', 'immersive sim', 'trading card game', 'trading', 'life sim', '3d', 'first-person', 'card game', 'relaxing', 'casual', 'multiplayer']",2024-09-15,['OPNeon Games'],['OPNeon Games'],5.0,2024.0,1.0
The Sims™ 4,play with life and discover the possibilities. unleash your imagination and create a world of sims that’s wholly unique. explore and customize every detail from sims to homes–and much more.,"['life sim', 'character customization', 'building', 'free to play', 'multiplayer', 'romance', 'sandbox', 'simulation', 'singleplayer', 'relaxing', 'dating sim', 'casual', 'realistic', 'funny', 'cute', 'family friendly', 'immersive sim', 'fantasy', 'adventure', 'cartoony']",2014-09-02,['Maxis'],['Electronic Arts'],4.0,2014.0,0.8
War Thunder,"war thunder is the most comprehensive free-to-play, cross-platform, mmo military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. join now and take part in major battles on land, in the air, and at sea.","['simulation', 'free to play', 'vehicular combat', 'combat', 'world war ii', 'vr', 'flight', 'war', 'military', 'tanks', 'naval combat', 'multiplayer', 'massively multiplayer', 'modern', 'cold war', 'action', 'realistic', 'shooter', 'third person', 'third-person shooter']",2013-08-15,['Gaijin Entertainment'],['Gaijin Network Ltd'],3.0,2013.0,0.6000000000000001
Euro Truck Simulator 2,"travel across europe as king of the road, a trucker who delivers important cargo across impressive distances! with dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.","['driving', 'transportation', 'simulation', 'open world', 'automobile sim', 'realistic', 'moddable', 'relaxing', 'exploration', 'immersive sim', 'economy', 'management', 'atmospheric', 'multiplayer', 'controller', 'family friendly', 'third person', 'adventure', 'casual', 'indie']",2012-10-18,['SCS Software'],['SCS Software'],5.0,2012.0,1.0
Anno 1800,anno 1800™ – lead the industrial revolution! welcome to the dawn of the industrial age. the path you choose will define your world. are you an innovator or an exploiter? a conqueror or a liberator? how the world remembers your name is up to you.,"['city builder', 'strategy', 'simulation', 'economy', 'multiplayer', 'resource management', 'sandbox', 'rts', 'exploration', 'singleplayer', 'management', 'co-op', 'historical', 'political', 'building', 'choose your own adventure', 'politics', 'choices matter', 'story rich', 'multiple endings']",,['Ubisoft Mainz'],['Ubisoft'],4.0,,0.8
American Truck Simulator,"experience legendary american trucks and deliver various cargoes across sunny california, sandy nevada, and the grand canyon state of arizona. american truck simulator takes you on a journey through the breathtaking landscapes and widely recognized landmarks around the states.","['automobile sim', 'driving', 'open world', 'transportation', 'simulation', 'america', 'realistic', 'moddable', 'relaxing', 'exploration', 'economy', 'management', 'atmospheric', 'immersive sim', 'multiplayer', 'singleplayer', 'adventure', 'casual', 'family friendly', 'level editor']",2016-02-02,['SCS Software'],['SCS Software'],5.0,2016.0,1.0
Yu-Gi-Oh! Master Duel,"yu-gi-oh! master duel is the ultimate free-to-play cross-platform strategy card game with fast-paced duels, stunning hd graphics and a new, dynamic soundtrack! get ready to challenge duelists around the world!","['card game', 'free to play', 'strategy', 'trading card game', 'multiplayer', 'pvp', 'card battler', 'anime', 'simulation', 'turn-based tactics', 'tactical', 'singleplayer', 'esports', 'dragons', 'fantasy', 'pve', '3d', '2d', 'great soundtrack', 'sexual content']",2022-01-18,['KONAMI'],['KONAMI'],3.0,2022.0,0.6000000000000001
BeamNG.drive,a dynamic soft-body physics vehicle simulator capable of doing just about anything.,"['simulation', 'driving', 'realistic', 'physics', 'destruction', 'automobile sim', 'open world', 'sandbox', 'racing', 'moddable', 'multiplayer', 'singleplayer', 'early access', 'first-person', 'third person', 'funny', 'exploration', 'action', 'adventure', 'flight']",2015-05-29,['BeamNG'],['BeamNG'],5.0,2015.0,1.0
eFootball™,the feverish football game with a worldwide total of 750 million downloads is waiting for you! play efootball™ with users around the world!,"['football (soccer)', 'free to play', 'controller', 'sports', 'multiplayer', 'esports', 'simulation', 'pvp', 'local multiplayer', 'co-op', 'singleplayer', 'online co-op', 'local co-op', 'realistic', 'comedy', 'memes', 'violent', 'lgbtq+', 'anime', 'funny']",2021-09-29,['KONAMI'],['KONAMI'],2.0,2021.0,0.4
Two Point Campus,"build the university of your dreams with two point campus, the sim with a twist from the makers of two point hospital. build, hire staff and run an academic institution packed with wild courses.","['management', 'simulation', 'strategy', 'building', 'city builder', 'casual', 'sandbox', 'funny', 'cartoony', 'isometric', 'comedy', 'singleplayer', 'family friendly', 'indie', 'economy', 'tactical', 'replay value', 'retro', 'education', 'cute']",2022-08-09,['Two Point Studios'],['SEGA'],4.0,2022.0,0.8
Assetto Corsa,"assetto corsa v1.16 introduces the new ""laguna seca"" laser-scanned track, 7 new cars among which the eagerly awaited alfa romeo giulia quadrifoglio! check the changelog for further info!","['racing', 'automobile sim', 'simulation', 'driving', 'multiplayer', 'realistic', 'vr', 'sports', 'moddable', 'open world', 'controller', 'physics', 'singleplayer', 'first-person', 'replay value', 'indie', 'action', '3d vision', 'trackir', 'artificial intelligence']",2014-12-19,['Kunos Simulazioni'],['Kunos Simulazioni'],4.0,2014.0,0.8
EA SPORTS™ Madden NFL 25,hit like you mean it with fieldsense™ powered by boom tech. experience how the new physics-informed dynamic tackling system unlocks realistic collisions & new gameplay animations on both sides of the ball.,"['simulation', 'strategy', 'football (american)', 'sports', 'competitive', 'gambling', 'nsfw']",2024-08-15,['Tiburon'],['Electronic Arts'],2.0,2024.0,0.4
RimWorld,"a sci-fi colony sim driven by an intelligent ai storyteller. generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.","['colony sim', 'base building', 'survival', 'strategy', 'sandbox', 'management', 'building', 'simulation', 'singleplayer', 'moddable', 'city builder', 'open world', 'procedural generation', '2d', 'sci-fi', 'indie', 'space', 'tactical rpg', 'western', 'cartoony']",2018-10-17,['Ludeon Studios'],['Ludeon Studios'],5.0,2018.0,1.0
theHunter: Call of the Wild™,"discover an atmospheric hunting game like no other in this realistic, stunning open world – regularly updated in collaboration with the community. immerse yourself in the single player campaign, or share the ultimate hunting experience with friends.","['hunting', 'open world', 'multiplayer', 'nature', 'relaxing', 'stealth', 'sandbox', 'fps', 'simulation', 'survival', 'realistic', 'online co-op', 'first-person', 'america', 'co-op', 'walking simulator', 'immersive sim', 'shooter', 'sports', 'controller']",2017-02-16,['Expansive Worlds'],['Expansive Worlds'],4.0,2017.0,0.8
Shawarma Legend,🌯 shawarma legend game coming soon! a real simulation of a shawarma restaurant!,"['simulation', 'life sim', 'time management', '2d', 'cartoon', 'cooking', 'cartoony', 'comedy', 'funny', 'management', 'crafting', 'singleplayer', 'resource management']",2024-07-19,['Eyad Alshafei'],['Patates Games'],4.0,2024.0,0.8
Stellaris,"explore a galaxy full of wonders in this sci-fi grand strategy game from paradox development studios. interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. each new adventure holds almost limitless possibilities.","['space', 'grand strategy', 'strategy', 'sci-fi', '4x', 'exploration', 'sandbox', 'simulation', 'multiplayer', 'singleplayer', 'real-time with pause', 'moddable', 'diplomacy', 'management', 'futuristic', 'military', 'replay value', 'great soundtrack', 'procedural generation', 'atmospheric']",2016-05-09,['Paradox Development Studio'],['Paradox Interactive'],4.0,2016.0,0.8
World of Warships,"immerse yourself in thrilling naval battles and assemble an armada of over 600 ships from the first half of the 20th century — from stealthy destroyers to gigantic battleships. change the look of your ship, choose upgrades to suit your play style, and go into battle with other players!","['naval combat', 'free to play', 'naval', 'world war ii', 'massively multiplayer', 'multiplayer', 'action', 'tactical', 'pvp', 'historical', 'military', 'online co-op', 'team-based', 'simulation', 'realistic', 'shooter', 'pve', 'war', 'third-person shooter', 'co-op']",2017-11-15,['Wargaming Group Limited'],['Wargaming Group Limited'],3.0,2017.0,0.6000000000000001
Assetto Corsa Competizione,"assetto corsa competizione, the official gt world challenge videogame. thanks to the extraordinary quality of simulation, you will experience the atmosphere of the gt3 championship. compete against official drivers, teams, cars and official circuits reproduced to the highest quality ever seen.","['racing', 'automobile sim', 'simulation', 'vr', 'multiplayer', 'driving', 'realistic', 'sports', 'singleplayer', 'controller', 'open world', 'esports', 'early access', 'first-person', 'competitive', 'online co-op', 'atmospheric', 'moddable', 'difficult', 'pvp']",2019-05-29,['Kunos Simulazioni'],['505 Games'],4.0,2019.0,0.8
World of Tanks,"jump into the free-to-play team-based shooter with an ever-expanding roster of historical vehicles, stunning graphics, spectacular locales, and orchestral scores. show your mastery and face other players in thrilling pvp clashes. a unique mix of strategy and action awaits!","['tanks', 'free to play', 'action', 'military', 'pvp', 'vehicular combat', 'multiplayer', 'team-based', 'tactical', 'massively multiplayer', 'war', 'historical', 'world war ii', 'simulation', 'co-op', 'realistic', 'shooter', 'third person', 'third-person shooter', 'pve']",2021-04-28,['Wargaming Group Limited'],['Wargaming Group Limited'],4.0,2021.0,0.8
Dyson Sphere Program,"build the most efficient intergalactic factory in space simulation strategy game dyson sphere program! harness the power of stars, collect resources, plan and design production lines and develop your interstellar factory from a small space workshop to a galaxy-wide industrial empire.","['space', 'automation', 'base building', 'building', 'open world', 'resource management', 'simulation', 'sci-fi', 'management', 'sandbox', 'city builder', 'strategy', 'singleplayer', 'space sim', '3d', 'third person', 'early access', 'indie', 'rts', 'multiplayer']",2021-01-20,['Youthcat Studio'],['Gamera Games'],5.0,2021.0,1.0
Jurassic World Evolution 2,jurassic world evolution 2 is the much-anticipated sequel to frontier’s highly successful jurassic world evolution. this bold new era in the jurassic world evolution game franchise builds upon the ground-breaking and immersive 2018 management simulation.,"['dinosaurs', 'building', 'simulation', 'management', 'sandbox', 'strategy', 'singleplayer', 'city builder', 'economy', 'resource management', 'sci-fi', 'open world', 'violent', 'atmospheric', 'sequel', 'action', 'multiplayer', 'survival', 'base building', 'casual']",2021-11-09,['Frontier Developments'],['Frontier Developments'],4.0,2021.0,0.8
DCS World Steam Edition,"feel the excitement of flying the su-25t ""frogfoot"" attack jet and the tf-51d ""mustang"" in the free-to-play digital combat simulator world!","['simulation', 'flight', 'free to play', 'multiplayer', 'military', 'realistic', 'vr', 'war', 'open world', 'singleplayer', 'shooter', 'action', 'co-op', 'sandbox', 'trackir', 'first-person', 'tanks', 'strategy', 'massively multiplayer', 'fps']",2018-03-18,['Eagle Dynamics SA'],['Eagle Dynamics SA'],4.0,2018.0,0.8
American Truck Simulator - Arkansas,no description available,"['simulation', 'indie', 'multiplayer']",2024-09-16,['SCS Software'],['SCS Software'],4.0,2024.0,0.8
Train Sim World® 5,the rails are yours in train sim world 5! take on new challenges and new roles as you master the tracks and trains of iconic cities across 3 new routes. immerse yourself in the ultimate rail hobby and embark on your next journey.,"['simulation', 'adventure', 'automobile sim', 'immersive sim', 'first-person', 'realistic', 'vr', 'atmospheric', 'trains', 'driving', 'relaxing', 'family friendly', 'transportation', 'open world', 'physics', 'singleplayer', 'story rich']",2024-09-17,['Dovetail Games'],['Dovetail Games - TSW'],3.0,2024.0,0.6000000000000001
Crusader Kings III: Tours & Tournaments,no description available,"['rpg', 'strategy', 'simulation', 'medieval']",2023-05-11,"['Paradox Development Studio', 'Paradox Thalassic']",['Paradox Interactive'],3.0,2023.0,0.6000000000000001
Cities: Skylines II,"raise a city from the ground up and transform it into a thriving metropolis with the most realistic city builder ever. push your creativity and problem-solving to build on a scale you've never experienced. with deep simulation and a living economy, this is world-building without limits.","['simulation', 'city builder', 'building', 'singleplayer', 'sandbox', 'management', 'economy', 'strategy', 'realistic', 'moddable', 'resource management', 'relaxing', 'transportation', 'casual', 'multiplayer', 'atmospheric', 'early access', 'open world', 'great soundtrack', 'mod']",2023-10-24,['Colossal Order Ltd.'],['Paradox Interactive'],2.0,2023.0,0.4
Fields of Mistria,"start your new life! build the farm of your dreams as you discover a world brimming with possibilities. magic, romance, and adventure all await you in this nostalgic farming / life sim rpg!","['early access', 'rpg', 'farming sim', 'simulation', 'dating sim', 'life sim', 'romance', 'farming', 'agriculture', 'cute', 'relaxing', 'anime', 'sandbox', 'open world', 'pixel graphics', '2d', 'crafting', 'building', 'cooking', 'mining']",2024-08-05,['NPC Studio'],['NPC Studio'],5.0,2024.0,1.0
Supermarket Simulator,"run your own supermarket. stock shelves, set prices as you'd like, take payments, hire staff, expand and design your store. online orders & delivery, shoplifters, security, local market are upcoming.","['simulation', 'management', 'economy', 'multiplayer', 'singleplayer', 'immersive sim', 'trading', 'first-person', 'life sim', 'building', 'capitalism', 'resource management', '3d', 'sandbox', 'realistic', 'casual', 'inventory management', 'early access', 'indie', 'driving']",2024-02-20,['Nokta Games'],['Nokta Games'],4.0,2024.0,0.8
CarX Street,"conquer mountain roads, highways, and city streets. build your dream car with detailed tuning that unleashes the potential of “carx technology”© physics. take part in thrilling races, enjoying realistic gameplay and dynamic driving.","['racing', 'open world', 'multiplayer', 'pvp', 'automobile sim', 'driving', 'sandbox', 'simulation', 'massively multiplayer', 'exploration', 'sports', 'third person', 'atmospheric', 'first-person', 'action', 'arcade', '3d', '3d vision', 'physics', '6dof']",2024-08-29,"['CarX Technologies, LLC']","['CarX Technologies, LLC']",2.0,2024.0,0.4
Hearts of Iron IV,"victory is at your fingertips! your ability to lead your nation is your supreme weapon, the strategy game hearts of iron iv lets you take command of any nation in world war ii; the most engaging conflict in world history.","['strategy', 'world war ii', 'grand strategy', 'war', 'historical', 'military', 'alternate history', 'multiplayer', 'simulation', 'tactical', 'real-time with pause', 'singleplayer', 'rts', 'diplomacy', 'sandbox', 'co-op', 'strategy rpg', 'competitive', 'open world', 'action']",2016-06-06,['Paradox Development Studio'],['Paradox Interactive'],4.0,2016.0,0.8
shapez 2,dive into a factory-building game where the focus is on just that — building huge factories! construct sprawling multi-level factories and min-max your layouts without limits. shapez 2 is tailor-made for enthusiasts who crave the thrill of optimizing production lines and perfecting automation.,"['management', 'strategy', 'automation', 'futuristic', 'early access', 'building', 'puzzle', 'crafting', 'simulation', 'sandbox', 'trains', 'space', 'transportation', 'base building', '3d', 'logic', 'singleplayer', 'casual', 'relaxing', 'procedural generation']",2024-08-15,['tobspr Games'],"['tobspr Games', 'Gamera Games']",5.0,2024.0,1.0
Ale & Tale Tavern,"get ready for a thrilling mix of genres: a cooperative, first-person, open-world fantasy tavern simulator, action, fishing, hunting, exploration, and completing fun and diverse quests. and, of course, cooking! play with friends, feed and quench the thirst of the entire world!","['adventure', 'simulation', 'online co-op', 'cooking', 'fantasy', 'action', 'first-person', 'management', 'co-op', 'sandbox', '3d', 'casual', 'economy', 'indie', 'building', 'exploration', 'family friendly', 'action-adventure', 'party game', 'singleplayer']",2024-09-05,['Scienart Games'],"['GrabTheGames', 'UpgradePoint']",4.0,2024.0,0.8
