name,short_description,genres,release_date,developer,publisher,overall_player_rating,release_year,overall_player_rating_normalized
Half-Life 2,"1998. half-life sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling. valve's debut title wins more than 50 game-of-the-year awards on its way to being named ""best pc game ever"" by pc gamer, and launches a franchise with more than eight million retail units sold...","['fps', 'action', 'sci-fi', 'classic', 'singleplayer', 'story rich', 'shooter', 'first-person', 'adventure', 'dystopian', 'atmospheric', 'silent protagonist', 'zombies', 'physics', 'aliens', 'great soundtrack', 'horror', 'puzzle', 'multiplayer', 'moddable']",2004-11-16,['Valve'],['Valve'],5.0,2004.0,1.0
Tomb Raider,tomb raider explores the intense origin story of lara croft and her ascent from a young woman to a hardened survivor.,"['adventure', 'action', 'female protagonist', 'third person', 'singleplayer', 'story rich', 'third-person shooter', 'multiplayer', 'exploration', 'action-adventure', 'quick-time events', 'atmospheric', 'shooter', 'puzzle', 'stealth', 'cinematic', 'platformer', 'rpg', 'reboot', '3d vision']",2013-03-05,"['Crystal Dynamics', 'Eidos-Montréal', 'Feral Interactive (Mac)', 'Nixxes']","['Crystal Dynamics', 'Feral Interactive (Mac)']",5.0,2013.0,1.0
Resident Evil 4,"survival is just the beginning. six years have passed since the biological disaster in raccoon city. leon s. kennedy, one of the survivors, tracks the president's kidnapped daughter to a secluded european village, where there is something terribly wrong with the locals.","['horror', 'action', 'survival horror', 'third-person shooter', 'singleplayer', 'zombies', 'story rich', 'survival', 'cinematic', 'dark', 'realistic', 'remake', 'gore', 'resource management', 'adventure', 'third person', 'psychological horror', '3d', 'violent', 'action-adventure']",2023-03-24,"['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']",5.0,2023.0,1.0
Satisfactory,"satisfactory is a first-person open-world factory building game with a dash of exploration and combat. play alone or with friends, explore an alien planet, create multi-story factories, and enter conveyor belt heaven!","['base building', 'automation', 'open world', 'multiplayer', 'crafting', 'co-op', 'resource management', 'building', 'sandbox', 'exploration', 'adventure', 'open world survival craft', 'simulation', 'survival', 'first-person', 'early access', 'strategy', 'sci-fi', 'singleplayer', 'indie']",2024-09-10,['Coffee Stain Studios'],['Coffee Stain Publishing'],5.0,2024.0,1.0
Persona 3 Reload,"dive into the dark hour and awaken the depths of your heart. persona 3 reload is a captivating reimagining of the genre-defining rpg, reborn for the modern era with cutting-edge graphics and gameplay.","['jrpg', 'rpg', 'anime', 'party-based rpg', 'adventure', 'turn-based strategy', 'strategy', 'dating sim', 'story rich', 'dark', 'strategy rpg', 'emotional', 'visual novel', 'colorful', 'turn-based combat', 'great soundtrack', 'mystery', 'supernatural', 'detective', 'multiple endings']",2024-02-01,['ATLUS'],['SEGA'],4.0,2024.0,0.8
Baldur's Gate 3,"baldur’s gate 3 is a story-rich, party-based rpg set in the universe of dungeons & dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.","['rpg', 'character customization', 'choices matter', 'story rich', 'turn-based combat', 'dungeons & dragons', 'crpg', 'adventure', 'fantasy', 'online co-op', 'romance', 'multiplayer', 'sexual content', 'strategy', 'singleplayer', 'co-op campaign', 'class-based', 'dark fantasy', 'nudity', 'combat']",2023-08-03,['Larian Studios'],['Larian Studios'],5.0,2023.0,1.0
Shin Megami Tensei V: Vengeance,"become a mighty demigod and battle through a decimated tokyo in a war between angels and demons. make new allies along your journey, engage in intense, turn-based combat, recruit hundreds of demons and forge your own path to dictate the fate of all existence.","['jrpg', 'rpg', 'story rich', 'demons', 'adventure', 'choices matter', 'exploration', 'anime', 'third person', '3d', 'atmospheric', 'turn-based strategy', 'dark', 'multiple endings', 'difficult', 'destruction', 'turn-based', 'singleplayer', 'creature collector', 'post-apocalyptic']",2024-06-14,['ATLUS'],['SEGA'],4.0,2024.0,0.8
Microsoft Flight Simulator 40th Anniversary Edition,"from gliders and helicopters to wide-body jets, fly highly detailed and accurate aircraft in the microsoft flight simulator 40th anniversary edition. the world is at your fingertips.","['simulation', 'flight', 'realistic', 'open world', 'multiplayer', 'vr', 'singleplayer', 'atmospheric', 'real-time', 'physics', 'adventure', 'colorful', 'family friendly', 'beautiful', 'trackir', 'surreal', 'controller', 'epic', 'short', 'psychological horror']",2020-08-17,['Asobo Studio'],['Xbox Game Studios'],3.0,2020.0,0.6000000000000001
Dragon's Dogma 2,"dragon’s dogma 2 is a single player, narrative driven action-rpg that challenges the players to choose their own experience – from the appearance of their arisen, their vocation, their party, how to approach different situations and more - in a truly immersive fantasy world.","['open world', 'rpg', 'action rpg', 'action', 'fantasy', 'adventure', 'singleplayer', 'dragons', 'action-adventure', 'magic', 'medieval', 'swordplay', 'character customization', 'physics', 'third person', 'artificial intelligence', 'lore-rich', 'multiplayer', '3d', 'pve']",2024-03-22,"['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']",2.0,2024.0,0.4
Lies of P,"lies of p is a thrilling soulslike that takes the story of pinocchio, turns it on its head, and sets it against the darkly elegant backdrop of the belle epoque era.","['souls-like', 'action', 'dark fantasy', 'action rpg', 'exploration', 'third person', 'singleplayer', 'story rich', 'adventure', 'dark', 'steampunk', 'atmospheric', '3d', 'rpg', 'choices matter', 'multiple endings', 'gothic', 'violent', 'difficult', 'replay value']",2023-09-18,['NEOWIZ'],['NEOWIZ'],4.0,2023.0,0.8
